id,label,tweet
1,1,"Good case, Excellent value."
2,1,Great for the jawbone.
3,0,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!
4,1,The mic is great.
5,0,I have to jiggle the plug to get it to line up right to get decent volume.
6,0,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one."
7,1,If you are Razr owner...you must have this!
8,0,"Needless to say, I wasted my money."
9,0,What a waste of money and time!.
10,1,And the sound quality is great.
11,1,He was very impressed when going from the original battery to the extended battery.
12,0,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.
13,1,Very good quality though
14,0,"The design is very odd, as the ear ""clip"" is not very comfortable at all."
15,1,Highly recommend for any one who has a blue tooth phone.
16,0,I advise EVERYONE DO NOT BE FOOLED!
17,1,So Far So Good!.
18,1,Works great!.
19,0,It clicks into place in a way that makes you wonder how long that mechanism would last.
20,0,"I went on Motorola's website and followed all directions, but could not get it to pair again."
21,1,I bought this to use with my Kindle Fire and absolutely loved it!
22,0,The commercials are the most misleading.
23,1,I have yet to run this new battery below two bars and that's three days without charging.
24,0,I bought it for my mother and she had a problem with the battery.
25,1,Great Pocket PC / phone combination.
26,1,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.
27,0,I didn't think that the instructions provided were helpful to me.
28,0,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.
29,0,Doesn't hold charge.
30,0,"This is a simple little phone to use, but the breakage is unacceptible."
31,1,This product is ideal for people like me whose ears are very sensitive.
32,0,It is unusable in a moving car at freeway speed.
33,0,I have two more years left in this contract and I hate this phone.
34,1,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended
35,0,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.
36,1,It has kept up very well.
37,0,Poor Talk Time Performance.
38,1,The case is great and works fine with the 680.
39,0,worthless product.
40,1,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality."
41,0,I was not impressed by this product.
42,1,Nice headset priced right.
43,0,I only hear garbage for audio.
44,1,Excellent bluetooth headset.
45,1,It has all the features I want
46,0,Who in their right mind is gonna buy this battery?.
47,0,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.
48,1,This case seems well made.
49,0,Disappointed with battery.
50,0,Not loud enough and doesn't turn on like it should.
51,1,good protection and does not make phone too bulky.
52,1,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.
53,1,This phone is pretty sturdy and I've never had any large problems with it.
54,1,I love this thing!
55,1,Everything about it is fine and reasonable for the price i.e.
56,0,VERY DISAPPOINTED.
57,1,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!
